id,source_type,category,easy_korean,human_vi,review_status
59,초등학교,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,"Nếu muốn có suất ăn thay thế, vui lòng nộp đơn đăng ký cho phòng y tế.",reviewed
75,유치원,제출,하원 시간이 바뀌면 오후 1시 전까지 키즈노트로 알려 주세요,"Nếu thời gian về thay đổi, vui lòng thông báo qua Kids Note trước 1 giờ chiều.",reviewed
82,초등학교,일정,3월 22일 오후 2시에 학부모 총회가 있습니다,"Có một cuộc họp phụ huynh vào lúc 2 giờ chiều ngày 22 tháng 3.",reviewed
94,유치원,건강·안전,등원할 때 아이 손을 잡고 현관까지 와 주세요,"Khi đến trường, vui lòng nắm tay trẻ và đưa đến tận cửa ra vào.",reviewed
114,초등학교,비용,졸업앨범을 신청한 사람만 62000원을 냅니다,"Chỉ những người đăng ký kỷ yếu tốt nghiệp mới phải đóng 62.000 won.",reviewed
118,초등학교,비용,생존수영 교육비 18000원이 스쿨뱅킹으로 빠져나갑니다,"18.000 won phí giáo dục bơi sinh tồn sẽ được rút qua tài khoản ngân hàng trường học.",reviewed
132,초등학교,일정,2월 7일 오전 10시에 졸업식이 있습니다,"Lễ tốt nghiệp sẽ diễn ra vào lúc 10 giờ sáng ngày 7 tháng 2.",reviewed
138,초등학교,일정,4월 12일 운동장에서 축구부 공개수업이 있습니다,"Có một lớp học công khai của câu lạc bộ bóng đá trên sân vận động vào ngày 12 tháng 4.",reviewed
141,유치원,제출,급식 모니터링 신청서를 내 주세요,"Vui lòng nộp đơn đăng ký giám sát bữa ăn.",reviewed
146,유치원,제출,알레르기가 있으면 조사서를 내 주세요,"Nếu có dị ứng, vui lòng nộp bản khảo sát.",reviewed
156,초등학교,일정,10월 4일에 가을 운동회가 있습니다,"Hội thao mùa thu sẽ diễn ra vào ngày 4 tháng 10.",reviewed
157,유치원,비용,간식비 환불은 오래 결석할 때만 됩니다,"Tiền ăn nhẹ chỉ được hoàn trả khi vắng mặt dài ngày.",reviewed
160,유치원,일정,3월 4일 오전 10시에 입학식이 있습니다,"Lễ khai giảng sẽ diễn ra vào lúc 10 giờ sáng ngày 4 tháng 3.",reviewed
171,유치원,제출,금요일까지 숲 체험 동의서를 보내 주세요,"Vui lòng gửi giấy đồng ý trải nghiệm rừng trước thứ Sáu.",reviewed
187,초등학교,제출,아침 돌봄교실은 먼저 신청한 순서로 받습니다,"Lớp trông giữ trẻ buổi sáng sẽ nhận theo thứ tự đăng ký trước.",reviewed
189,초등학교,제출,5월 1일까지 글쓰기 대회 원고를 내 주세요,"Vui lòng nộp bản thảo cuộc thi viết trước ngày 1 tháng 5.",reviewed
191,유치원,준비물,입학식 날 실내화와 물병을 준비해 주세요,"Vui lòng chuẩn bị dép đi trong nhà và bình nước vào ngày khai giảng.",reviewed
193,초등학교,일정,5월 17일 방과후 수업은 쉽니다,"Lớp học ngoại khóa ngày 17 tháng 5 sẽ được nghỉ.",reviewed
196,유치원,비용,방과후 영어 활동비는 한 달 20000원입니다,"Phí hoạt động tiếng Anh ngoại khóa là 20.000 won một tháng.",reviewed
22,유치원,비용,인형극 관람비 5000원을 내 주세요,"Vui lòng đóng 5.000 won phí xem múa rối.",reviewed
23,유치원,제출,독감 예방접종 여부를 카드에 써 주세요,"Vui lòng ghi rõ tình trạng tiêm phòng cúm vào thẻ.",reviewed
27,유치원,일정,12월 20일에 크리스마스 발표회가 있습니다,"Có một buổi biểu diễn Giáng sinh vào ngày 20 tháng 12.",reviewed
29,유치원,일정,방과후 미술은 화요일 오후에 합니다,"Lớp mỹ thuật ngoại khóa diễn ra vào chiều thứ Ba.",reviewed
30,유치원,제출,졸업사진을 찍으려면 동의서를 내야 합니다,"Để chụp ảnh tốt nghiệp, bạn phải nộp giấy đồng ý.",reviewed
35,초등학교,건강·안전,5월 16일 오전에 건강검진을 합니다,"Khám sức khỏe sẽ diễn ra vào sáng ngày 16 tháng 5.",reviewed
39,유치원,준비물,아이가 먹기 쉬운 도시락을 준비해 주세요,"Vui lòng chuẩn bị hộp cơm trưa dễ ăn cho trẻ.",reviewed
41,초등학교,일정,10월 2일은 학교에 오지 않습니다,"Không đến trường vào ngày 2 tháng 10.",reviewed
42,초등학교,준비물,다음 주까지 리코더를 준비해 주세요,"Vui lòng chuẩn bị sáo recorder trước tuần sau.",reviewed
46,초등학교,제출,전입생은 등본과 예방접종 확인서를 내 주세요,"Học sinh chuyển trường vui lòng nộp bản sao hộ khẩu và giấy xác nhận tiêm chủng.",reviewed
51,유치원,제출,상담 시간을 키즈노트 설문에서 골라 주세요,"Vui lòng chọn thời gian tư vấn trong khảo sát trên Kids Note.",reviewed
